tool_id,slug,title_ru,title_en,category,executor_class,risk_tier,auth,implementation_wave,locales
WD-082,color-contrast-checker,Проверка контраста цветов,Color Contrast Checker,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-083,color-palette-extractor,Извлечение палитры из изображения,Image Color Palette Extractor,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-084,gradient-generator,Генератор CSS-градиентов,CSS Gradient Generator,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-085,box-shadow-generator,Генератор box-shadow,Box Shadow Generator,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-086,border-radius-generator,Генератор border-radius,Border Radius Generator,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-087,clip-path-generator,Генератор clip-path,Clip Path Generator,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-088,css-filter-playground,CSS Filter Playground,CSS Filter Playground,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-089,css-specificity-calculator,Калькулятор специфичности CSS,CSS Specificity Calculator,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-090,px-rem-converter,Конвертер px ↔ rem,px ↔ rem Converter,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-091,typography-scale-generator,Генератор типографической шкалы,Typography Scale Generator,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-092,css-grid-generator,CSS Grid Generator,CSS Grid Generator,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-093,flexbox-playground,Flexbox Playground,Flexbox Playground,CSS и дизайн,browser,R0,none,W1,"ru,en"
WD-094,image-optimizer,Оптимизация и сжатие изображений,Image Optimizer and Compressor,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-095,image-format-converter,"Конвертер PNG, JPEG, WebP и AVIF","PNG, JPEG, WebP and AVIF Converter",Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-096,image-resizer,Изменение размера изображения,Image Resizer,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-097,image-cropper,Обрезка изображений,Image Cropper,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-098,favicon-generator,Генератор favicon,Favicon Generator,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-099,qr-code-generator,Генератор QR-кодов,QR Code Generator,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-100,uuid-generator,Генератор UUID,UUID Generator,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-101,qr-code-decoder,Распознавание QR-кодов,QR Code Decoder,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-102,svg-optimizer,Оптимизация SVG,SVG Optimizer,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-103,image-metadata-viewer,Просмотр метаданных изображения,Image Metadata Viewer,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-104,image-metadata-remover,Удаление метаданных изображения,Image Metadata Remover,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-105,responsive-image-srcset-generator,Генератор srcset для адаптивных изображений,Responsive Image Srcset Generator,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-106,image-aspect-ratio-calculator,Калькулятор пропорций изображения,Image Aspect Ratio Calculator,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-107,image-data-uri-converter,Конвертер изображения в Data URI,Image to Data URI Converter,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-108,image-placeholder-generator,Генератор плейсхолдеров изображений,Image Placeholder Generator,Медиа и утилиты,browser,R0,none,W1,"ru,en"
WD-109,unix-timestamp-converter,Конвертер Unix timestamp,Unix Timestamp Converter,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-110,ulid-generator,Генератор ULID,ULID Generator,Разработка и данные,browser,R0,none,W1,"ru,en"
